effect_bundle_key	effect_key	effect_scope	value	advancement_stage
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	idrinth_effect_character_stat_ward_save	faction_to_character_own	8.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	idrinth_effect_character_stat_ward_save	faction_to_character_own	16.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	idrinth_pooled_resource_khaine	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	idrinth_pooled_resource_kurnous	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	idrinth_pooled_resource_asuryan	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	idrinth_pooled_resource_khaine	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	idrinth_pooled_resource_asuryan	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	idrinth_pooled_resource_kurnous	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	idrinth_effect_character_stat_ammunition	faction_to_character_own	16.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	idrinth_pooled_resource_kurnous	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	idrinth_pooled_resource_asuryan	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	idrinth_pooled_resource_asuryan	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	idrinth_pooled_resource_khaine	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_high	idrinth_pooled_resource_asuryan	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_high	idrinth_pooled_resource_khaine	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_high	idrinth_pooled_resource_kurnous	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	idrinth_pooled_resource_asuryan	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	idrinth_pooled_resource_khaine	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	idrinth_pooled_resource_kurnous	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	idrinth_pooled_resource_kurnous	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	idrinth_pooled_resource_asuryan	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	idrinth_pooled_resource_khaine	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	idrinth_pooled_resource_kurnous	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	idrinth_pooled_resource_asuryan	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	idrinth_pooled_resource_khaine	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	idrinth_pooled_resource_asuryan	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	idrinth_pooled_resource_kurnous	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	idrinth_pooled_resource_khaine	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_dilemma_empire_FIRST	idrinth_pooled_resource_khaine	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_empire_FIRST	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_empire_FIRST	wh_main_effect_force_stat_speed	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_empire_SECOND	wh3_main_effect_winds_of_magic_technology	faction_to_force_own	1.0000	start_turn_completed
idrinth_dilemma_empire_SECOND	wh_main_effect_force_stat_magic_resistance	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_empire_SECOND	idrinth_pooled_resource_asuryan	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_empire_THIRD	wh_main_effect_force_stat_leadership	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_dilemma_empire_THIRD	wh_main_effect_force_stat_vigour_loss_reduction	faction_to_army_own	-10.0000	start_turn_completed
idrinth_dilemma_empire_THIRD	wh3_main_effect_corruption_reduction_faction	faction_to_province_own	-1.0000	start_turn_completed
idrinth_dilemma_empire_THIRD	idrinth_pooled_resource_kurnous	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_high_elves_FIRST	wh3_main_effect_economy_income_per_turn_number	faction_to_faction_own	10.0000	start_turn_completed
idrinth_dilemma_high_elves_FIRST	wh2_main_faction_political_diplomacy_mod_high_elves	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_dilemma_high_elves_FIRST	idrinth_pooled_resource_khaine	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_high_elves_SECOND	wh2_main_faction_political_diplomacy_mod_high_elves	faction_to_faction_own	10.0000	start_turn_completed
idrinth_dilemma_high_elves_SECOND	idrinth_pooled_resource_asuryan	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_high_elves_THIRD	idrinth_pooled_resource_kurnous	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_kislev_FIRST	wh3_dlc20_effect_xp_gain_all_units	faction_to_army_own	5.0000	start_turn_completed
idrinth_dilemma_kislev_FIRST	wh2_main_effect_character_stat_melee_attack_vs_human	faction_to_character_own	5.0000	start_turn_completed
idrinth_dilemma_kislev_FIRST	idrinth_pooled_resource_khaine	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_kislev_SECOND	idrinth_pooled_resource_asuryan	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_kislev_SECOND	wh_main_effect_character_stat_leadership	faction_to_army_own	5.0000	start_turn_completed
idrinth_dilemma_kislev_SECOND	wh_main_effect_public_order_events	faction_to_province_own	2.0000	start_turn_completed
idrinth_dilemma_kislev_THIRD	idrinth_pooled_resource_kurnous	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_vampire_counts_FIRST	wh_main_effect_force_stat_weapon_strength_lords_heroes	faction_to_force_own	10.0000	start_turn_completed
idrinth_dilemma_vampire_counts_FIRST	wh_main_effect_force_stat_leadership	faction_to_force_own	-5.0000	start_turn_completed
idrinth_dilemma_vampire_counts_FIRST	idrinth_pooled_resource_khaine	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_vampire_counts_SECOND	wh_main_effect_technology_research_rate_mod	faction_to_faction_own	5.0000	start_turn_completed
idrinth_dilemma_vampire_counts_SECOND	idrinth_pooled_resource_asuryan	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_vampire_counts_THIRD	idrinth_pooled_resource_kurnous	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_wood_elves_FIRST	wh_dlc05_faction_political_diplomacy_mod_wood_elves	faction_to_faction_own	5.0000	start_turn_completed
idrinth_dilemma_wood_elves_FIRST	wh_main_effect_force_stat_range	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_wood_elves_FIRST	idrinth_pooled_resource_kurnous	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_wood_elves_SECOND	wh_main_effect_force_army_campaign_ambush_defence_success_chance	faction_to_force_own	10.0000	start_turn_completed
idrinth_dilemma_wood_elves_SECOND	idrinth_pooled_resource_khaine	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_wood_elves_THIRD	idrinth_pooled_resource_asuryan	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_dwarves_FIRST	wh_main_effect_force_stat_leadership	faction_to_force_own	2.0000	start_turn_completed
idrinth_dilemma_dwarves_FIRST	wh_main_effect_force_stat_leadership_vs_vampire_counts	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_dwarves_FIRST	idrinth_pooled_resource_kurnous	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_dwarves_SECOND	wh_pro01_effect_force_stat_melee_defence_defending	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_dwarves_SECOND	idrinth_pooled_resource_khaine	faction_to_faction_own	1.0000	start_turn_completed
idrinth_dilemma_dwarves_THIRD	idrinth_pooled_resource_asuryan	faction_to_faction_own	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	idrinth_pooled_resource_kurnous	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_dilemma_kislev_THIRD	wh_main_effect_character_stat_leadership	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_dilemma_kislev_THIRD	wh2_main_effect_force_army_campaign_experience_all	faction_to_force_own	10.0000	start_turn_completed
idrinth_dilemma_dwarves_THIRD	wh3_main_effect_character_experience_per_turn	faction_to_character_own	20.0000	start_turn_completed
idrinth_dilemma_dwarves_THIRD	wh_main_faction_political_diplomacy_mod_dwarfs	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_dilemma_wood_elves_THIRD	wh_dlc05_faction_political_diplomacy_mod_wood_elves	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_dilemma_wood_elves_THIRD	wh_main_effect_force_stat_missile_resistance	faction_to_force_own	10.0000	start_turn_completed
idrinth_dilemma_vampire_counts_THIRD	wh_main_effect_agent_action_success_chance_enemy	faction_to_region_own	-5.0000	start_turn_completed
idrinth_dilemma_vampire_counts_THIRD	wh_main_effect_force_army_campaign_ambush_defence_success_chance	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_high_elves_THIRD	wh3_main_effect_economy_income_per_turn_number	faction_to_faction_own	5.0000	start_turn_completed
idrinth_dilemma_high_elves_THIRD	wh2_main_faction_political_diplomacy_mod_high_elves	faction_to_faction_own	5.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_large	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	7.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_large	wh_main_effect_force_stat_speed	faction_to_force_own	7.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_large	wh_main_effect_force_stat_melee_attack_pct	faction_to_force_own	7.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_medium	wh_main_effect_force_stat_melee_defence	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_medium	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_medium	wh_main_effect_force_stat_weapon_strength	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_small	wh_main_effect_force_stat_ward_save	faction_to_force_own	3.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_small	wh_dlc08_effect_force_all_campaign_upkeep	faction_to_force_own	-3.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_small	wh_main_effect_unit_recruitment_points	faction_to_force_own	3.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_medium	wh_main_effect_force_stat_ward_save	faction_to_force_own	3.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_medium	wh_dlc08_effect_force_all_campaign_upkeep	faction_to_force_own	-3.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_medium	wh_main_effect_unit_recruitment_points	faction_to_force_own	3.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_large	wh_main_effect_force_stat_melee_defence	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_large	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_large	wh_main_effect_force_stat_weapon_strength	faction_to_force_own	5.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_large	wh_main_effect_force_stat_ward_save	faction_to_force_own	3.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_large	wh_dlc08_effect_force_all_campaign_upkeep	faction_to_force_own	-3.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_large	wh_main_effect_unit_recruitment_points	faction_to_force_own	3.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_large_cost	idrinth_pooled_resource_asuryan	faction_to_faction_own	-300.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_large_cost	idrinth_pooled_resource_kurnous	faction_to_faction_own	-300.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_large_cost	idrinth_pooled_resource_khaine	faction_to_faction_own	-300.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_medium_cost	idrinth_pooled_resource_asuryan	faction_to_faction_own	-200.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_medium_cost	idrinth_pooled_resource_kurnous	faction_to_faction_own	-200.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_medium_cost	idrinth_pooled_resource_khaine	faction_to_faction_own	-200.0000	start_turn_completed
idrinth_dilemma_god_favour_asuryan_small_cost	idrinth_pooled_resource_asuryan	faction_to_faction_own	-100.0000	start_turn_completed
idrinth_dilemma_god_favour_kurnous_small_cost	idrinth_pooled_resource_kurnous	faction_to_faction_own	-100.0000	start_turn_completed
idrinth_dilemma_god_favour_khaine_small_cost	idrinth_pooled_resource_khaine	faction_to_faction_own	-100.0000	start_turn_completed
idrinth_asuryan_god_favour_plus1	idrinth_pooled_resource_asuryan	faction_to_faction_own	1.0000	start_turn_completed
idrinth_kurnous_god_favour_plus1	idrinth_pooled_resource_kurnous	faction_to_faction_own	1.0000	start_turn_completed
idrinth_khaine_god_favour_plus1	idrinth_pooled_resource_khaine	faction_to_faction_own	1.0000	start_turn_completed
idrinth_asuryan_god_favour_plus2	idrinth_pooled_resource_asuryan	faction_to_faction_own	2.0000	start_turn_completed
idrinth_kurnous_god_favour_plus2	idrinth_pooled_resource_kurnous	faction_to_faction_own	2.0000	start_turn_completed
idrinth_khaine_god_favour_plus2	idrinth_pooled_resource_khaine	faction_to_faction_own	2.0000	start_turn_completed
idrinth_asuryan_god_favour_plus3	idrinth_pooled_resource_asuryan	faction_to_faction_own	3.0000	start_turn_completed
idrinth_kurnous_god_favour_plus3	idrinth_pooled_resource_kurnous	faction_to_faction_own	3.0000	start_turn_completed
idrinth_khaine_god_favour_plus3	idrinth_pooled_resource_khaine	faction_to_faction_own	3.0000	start_turn_completed
idrinth_asuryan_god_favour_plus4	idrinth_pooled_resource_asuryan	faction_to_faction_own	4.0000	start_turn_completed
idrinth_kurnous_god_favour_plus4	idrinth_pooled_resource_kurnous	faction_to_faction_own	4.0000	start_turn_completed
idrinth_khaine_god_favour_plus4	idrinth_pooled_resource_khaine	faction_to_faction_own	4.0000	start_turn_completed
idrinth_asuryan_god_favour_plus5	idrinth_pooled_resource_asuryan	faction_to_faction_own	5.0000	start_turn_completed
idrinth_kurnous_god_favour_plus5	idrinth_pooled_resource_kurnous	faction_to_faction_own	5.0000	start_turn_completed
idrinth_khaine_god_favour_plus5	idrinth_pooled_resource_khaine	faction_to_faction_own	5.0000	start_turn_completed
idrinth_asuryan_god_favour_minus1	idrinth_pooled_resource_asuryan	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_kurnous_god_favour_minus1	idrinth_pooled_resource_kurnous	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_khaine_god_favour_minus1	idrinth_pooled_resource_khaine	faction_to_faction_own	-1.0000	start_turn_completed
idrinth_asuryan_god_favour_minus2	idrinth_pooled_resource_asuryan	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_kurnous_god_favour_minus2	idrinth_pooled_resource_kurnous	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_khaine_god_favour_minus2	idrinth_pooled_resource_khaine	faction_to_faction_own	-2.0000	start_turn_completed
idrinth_asuryan_god_favour_minus3	idrinth_pooled_resource_asuryan	faction_to_faction_own	-3.0000	start_turn_completed
idrinth_kurnous_god_favour_minus3	idrinth_pooled_resource_kurnous	faction_to_faction_own	-3.0000	start_turn_completed
idrinth_khaine_god_favour_minus3	idrinth_pooled_resource_khaine	faction_to_faction_own	-3.0000	start_turn_completed
idrinth_asuryan_god_favour_minus4	idrinth_pooled_resource_asuryan	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_kurnous_god_favour_minus4	idrinth_pooled_resource_kurnous	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_khaine_god_favour_minus4	idrinth_pooled_resource_khaine	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_asuryan_god_favour_minus5	idrinth_pooled_resource_asuryan	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_kurnous_god_favour_minus5	idrinth_pooled_resource_kurnous	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_khaine_god_favour_minus5	idrinth_pooled_resource_khaine	faction_to_faction_own	-5.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_weapon_strength	faction_to_force_own	15.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	faction_to_force_own	-100.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_speed	faction_to_force_own	20.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_range	faction_to_force_own	20.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_melee_defence	faction_to_force_own	5.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	faction_to_force_own	10.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_fire_resistance	faction_to_force_own	-20.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	faction_to_force_own	20.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	20.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_character_stat_physical_resistance	faction_to_force_own	5.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_character_stat_missile_resistance	faction_to_force_own	10.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_character_stat_missile_damage	faction_to_force_own	10.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_attribute_enable_causes_fear	faction_to_force_own	1.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_ability_enable_the_hunger	faction_to_force_own	1.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh_main_effect_ability_enable_invocation_of_nehek	faction_to_force_own	1.0000	start_turn_completed
idrinth_vampiric_priests	idrinth_priests_wh2_dlc16_effect_unit_enable_attribute_undead	faction_to_force_own	1.0000	start_turn_completed
idrinth_successful_action_character	idrinth_successful_action_motivation	character_to_character_own	10.0000	start_turn_completed
idrinth_successful_action_character	wh_main_effect_force_stat_weapon_strength_base_mult	character_to_character_own	2.0000	start_turn_completed
idrinth_successful_action_character	wh_main_effect_force_all_campaign_upkeep	character_to_character_own	-10.0000	start_turn_completed
idrinth_successful_action_character_critical	idrinth_successful_action_motivation	character_to_character_own	25.0000	start_turn_completed
idrinth_successful_action_character_critical	wh_main_effect_force_stat_weapon_strength_base_mult	character_to_character_own	5.0000	start_turn_completed
idrinth_successful_action_character_critical	wh_main_effect_force_all_campaign_upkeep	character_to_character_own	-25.0000	start_turn_completed
idrinth_successful_action_army	idrinth_successful_action_motivation	character_to_character_own	10.0000	start_turn_completed
idrinth_successful_action_army	wh_main_effect_force_all_campaign_upkeep	character_to_character_own	-10.0000	start_turn_completed
idrinth_successful_action_army	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	10.0000	start_turn_completed
idrinth_successful_action_army_critical	idrinth_successful_action_motivation	character_to_character_own	25.0000	start_turn_completed
idrinth_successful_action_army_critical	wh_main_effect_force_all_campaign_upkeep	character_to_character_own	-25.0000	start_turn_completed
idrinth_successful_action_army_critical	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	25.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	wh2_main_effect_force_army_campaign_experience_hef_caster	force_to_character_own_hidden	25.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	wh2_main_effect_force_stat_miscast	force_to_force_own	-50.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	wh2_main_effect_force_stat_speed_hef_caster	force_to_force_own	10.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	wh3_main_effect_winds_of_magic_lileaths_blessing_stance	force_to_force_own	25.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	wh_main_effect_force_all_campaign_stance_ap_cost	army_to_army_own_unseen	10.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_dlc05_effect_force_army_campaign_stance_tunnelling_interception_dummy_wood_elves	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_main_effect_force_all_campaign_stance_ap_cost_dummy	army_to_army_own_unseen	100.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_main_effect_force_all_campaign_stance_cannot_attack_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_main_effect_force_army_campaign_ambush_defence_success_chance	army_to_army_own_unseen	25.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_main_effect_force_army_campaign_stance_tunnelling_movement_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_main_effect_force_army_campaign_stance_tunnelling_retreat_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_main_effect_force_campaign_stance_can_move_extra_stance_display	army_to_army_own_unseen	25.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_ambush	wh_main_effect_force_all_campaign_stance_ap_cost	army_to_army_own_unseen	25.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_ambush	wh_main_effect_force_army_campaign_stance_ambush_hidden_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	wh_main_effect_force_stat_ward_save	force_to_force_own	2.5000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_forced_march	wh2_main_effect_force_army_campaign_stance_march_retreat_dummy	force_to_force_own	1.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_forced_march	wh_main_effect_force_all_campaign_stance_cannot_attack_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_forced_march	wh_main_effect_force_all_campaign_stance_cannot_recruit_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_forced_march	wh_main_effect_force_army_campaign_ambush_defence_success_chance	army_to_army_own_unseen	-25.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_forced_march	wh_main_effect_force_campaign_stance_begin_fatigued_4_tired	army_to_army_own_unseen	3.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_forced_march	wh_main_effect_force_campaign_stance_can_move_extra_stance_display	force_to_force_own	65.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_garrisoned	wh3_main_effect_character_experience_per_turn	force_to_general_own	100.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_garrisoned	wh_main_effect_force_stat_leadership_siege_defence	force_to_force_own	5.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_garrisoned	wh_main_effect_force_stat_range	force_to_force_own	5.0000	start_turn_completed
idrinth_hev_vampires_bundle_stance_army_garrisoned	wh_main_effect_hordebuilding_growth_if_settled_stance_variant	force_to_region_own	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance	army_to_army_own_unseen	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	wh_main_effect_force_all_campaign_upkeep	force_to_force_own	-5.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	wh_main_effect_economy_gdp_mod_all	force_to_region_own_raiding	-100.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	wh_main_effect_force_all_campaign_stance_ap_cost	army_to_army_own_unseen	25.0000	start_turn_completed
idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	wh_main_effect_force_all_campaign_stance_diplomacy_penalty_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
